language,crawl_date,0
ar,20200607,1951
ar,20200608,2833
ar,20200609,1805
ar,20200616,9
ar,20200617,78
ar,20200618,57
ar,20200619,6
ar,20200620,1
ar,20200625,1
ar,20200706,1
ar,20200715,36
ar,20200716,107
ar,20200717,7
ar,20200718,55
ar,20200720,2
ar,20200721,1
ar,20200722,21
ar,20200723,266
ar,20200724,19
ar,20200725,5
ar,20200727,348
ar,20200728,1894
ar,20200729,1311
ar,20200730,1443
ar,20200805,257
ar,20200806,2370
ar,20200807,1221
ar,20200808,1322
ar,20200809,2785
ar,20200810,1569
ar,20200811,127
ar,20200812,4
ar,20200813,14
ar,20200814,1
ar,20200824,28
ar,20200825,9
ar,20200907,19
ar,20200908,5
ar,20200923,36
ar,20200925,7
ar,20201002,1
ar,20201007,58
ar,20201008,551
ar,20201009,3
ar,20201010,1
ar,20201015,1
ar,20201016,4
ar,20201017,1
ar,20201021,1
ar,20201023,4
ar,20201024,4
ar,20201026,8
ar,20201027,2829
ar,20201028,3070
ar,20201029,1500
ar,20201030,1283
ar,20201031,3
ar,20201105,112
ar,20201116,16
ar,20201117,117
ar,20201118,2
ar,20201123,8
ar,20201124,31
ar,20201130,11
ar,20201202,42
ar,20201211,1
ar,20201212,18
ar,20201216,22
ar,20201217,103
ar,20201218,7
ar,20201219,182
ar,20201221,193
ar,20201222,2027
ar,20201223,172
ar,20201224,46
ar,20201225,19
ar,20201226,57
ar,20201227,640
ar,20201228,647
ar,20210113,23
ar,20210114,54
ar,20210129,375
ar,20210130,2924
ar,20210131,1752
ar,20210201,2451
ar,20210202,989
ar,20210203,1154
ar,20210204,583
ar,20210205,764
ar,20210215,239
ar,20210216,405
ar,20210225,3
ar,20210226,9
ar,20210301,3
ar,20210305,34
ar,20210306,223
ar,20210308,5
ar,20210309,427
ar,20210310,116
ar,20210315,1
ar,20210316,1
ar,20210319,14
ar,20210320,44
ar,20210402,2
ar,20210412,263
ar,20210413,2621
ar,20210414,536
ar,20210415,195
ar,20210422,12
ar,20210423,345
ar,20210424,226
ar,20210516,244
ar,20210517,266
ar,20210518,2
ar,20210620,2
ar,20210701,1389
ar,20210702,2816
ar,20210703,1940
ar,20210704,1561
ar,20210705,1791
ar,20210706,377
ar,20210707,302
ar,20210708,234
ar,20210712,2
ar,20210716,58
ar,20210717,118
ar,20210723,1
ast,20200221,59
ast,20200222,87
ast,20200223,26
ast,20200224,21
ast,20200226,6
ast,20200229,1
ast,20200305,4
ast,20200306,5
ast,20200307,4
ast,20200310,3
ast,20200314,15
ast,20200315,41
ast,20200316,11
ast,20200317,18
ast,20200318,2
ast,20200319,3
ast,20200320,12
ast,20200321,21
ast,20200322,15
ast,20200323,12
ast,20200324,16
ast,20200325,31
ast,20200326,2
ast,20200327,11
ast,20200328,23
ast,20200329,26
ast,20200330,28
ast,20200331,8
ast,20200402,4
ast,20200403,34
ast,20200404,62
ast,20200405,15
ast,20200406,1
ast,20200407,13
ast,20200408,20
ast,20200409,39
ast,20200410,62
ast,20200411,34
ast,20200412,13
ast,20200413,6
ast,20200414,10
ast,20200415,72
ast,20200416,3
ast,20200417,6
ast,20200418,3
ast,20200419,5
ast,20200420,12
ast,20200421,6
ast,20200423,1
ast,20200424,23
ast,20200425,5
ast,20200426,1
ast,20200429,9
ast,20200430,23
ast,20200501,20
ast,20200502,221
ast,20200503,519
ast,20200504,1
ast,20200508,20
ast,20200509,2
ast,20200511,1
ast,20200512,1
ast,20200514,3
ast,20200515,4
ast,20200516,4
ast,20200517,2
ast,20200518,1
ast,20200522,10
ast,20200523,17
ast,20200527,1
ast,20200529,24
ast,20200607,15
ast,20200612,28
ast,20200616,1
ast,20200617,1
ast,20200618,8
ast,20200625,45
ast,20200706,9
ast,20200707,19
ast,20200715,2
ast,20200717,6
ast,20200718,1
ast,20200720,1
ast,20200722,2
ast,20200723,5
ast,20200724,3
ast,20200725,1
